"team","passing_epa","total_pass_plays","rushing_epa","total_rush_plays","total_offensive_epa","total_plays","defensive_epa","defensive_pass_epa","defensive_rush_epa","wins","losses","ties","win_pct","made_playoffs","conference","playoff_seed"
"TEN",0.0935287935488393,634,-0.0523164285720424,535,0.00165926441657639,1470,-0.0454448478749382,0.0114507748538857,-0.0819724775164238,12,5,0,0.705882352941177,"Yes","AFC",1
"KC",0.215186688269228,803,-0.020673944328782,372,0.112198121958139,1459,0.0145530746669753,0.09193322526623,-0.0661770130539393,12,5,0,0.705882352941177,"Yes","AFC",2
"BUF",0.162982513007013,774,-0.0471532438741854,401,0.0524875105512646,1457,-0.112457662753797,-0.111879971156502,-0.106286833353321,11,6,0,0.647058823529412,"Yes","AFC",3
"CIN",0.15907079174114,668,-0.0985453757686494,416,0.0313648519740916,1383,-0.035779896079074,0.0237627890117574,-0.0802186956547307,10,7,0,0.588235294117647,"Yes","AFC",4
"LV",0.0844968176151678,724,-0.16113422713241,404,-0.0121103312808896,1439,0.0405060361914414,0.171854606158171,-0.116968376877358,10,7,0,0.588235294117647,"Yes","AFC",5
"NE",0.136366084537988,611,-0.0113677450455493,473,0.0438440072933024,1374,-0.0900588770541214,-0.0539366321448631,-0.0822977811076258,10,7,0,0.588235294117647,"Yes","AFC",6
"PIT",-0.0379695905905337,755,-0.0779186029648139,400,-0.0591868970813294,1469,-0.0229002423987928,0.0221570712016954,-0.0216125781183873,9,7,1,0.529411764705882,"Yes","AFC",7
"GB",0.218177024695381,679,-0.000583063119587615,414,0.0889423327104799,1384,0.0141609357498209,0.0324540757460156,-0.000625703313560249,13,4,0,0.764705882352941,"Yes","NFC",1
"TB",0.195955318469144,794,0.0242512999037728,367,0.0748843506466723,1467,-0.0551166990946733,-0.0393832911149113,-0.112979779553363,13,4,0,0.764705882352941,"Yes","NFC",2
"DAL",0.16628058205302,761,-0.0542078573046638,445,0.0499493945936051,1521,-0.0871572723620607,-0.111803355468167,-0.0425543059980537,12,5,0,0.705882352941177,"Yes","NFC",3
"LA",0.183665244249597,678,-0.0891541021958625,397,0.0512354383934368,1361,-0.028632918184528,0.0299465170684834,-0.113141339324623,12,5,0,0.705882352941177,"Yes","NFC",4
"ARI",0.149256182257252,702,-0.0367568356717606,455,0.0286368743532227,1454,-0.0500856437170813,-0.0158539813394707,-0.129789294874806,11,6,0,0.647058823529412,"Yes","NFC",5
"SF",0.174026945371182,594,-0.022153516347934,481,0.0468911314431505,1357,-0.0077879267626152,0.0975724816687315,-0.148338981144125,10,7,0,0.588235294117647,"Yes","NFC",6
"PHI",0.0935752318290419,613,0.0293261963902355,493,0.0396064361076634,1388,-0.0107823887404003,0.0600667046300853,-0.0771955149107914,9,8,0,0.529411764705882,"Yes","NFC",7
"IND",0.0553051586075679,625,0.0631326290219656,473,0.0394312206647898,1391,-0.0319409854230884,0.0659329095781964,-0.109868457008586,9,8,0,0.529411764705882,"No",NA,NA
"LAC",0.170757953353313,794,-0.076760866000738,386,0.0419535854717546,1466,0.0335290329929776,0.0806661426845536,-0.00416591001843499,9,8,0,0.529411764705882,"No",NA,NA
"MIA",0.0295360249501761,735,-0.180288774094686,405,-0.0594861622141736,1442,-0.0335583711476267,-0.0155618681016491,-0.0477876710959855,9,8,0,0.529411764705882,"No",NA,NA
"NO",-0.00377355558204662,606,-0.148440444214785,469,-0.0877425302945381,1390,-0.110614187962612,-0.0709725509014745,-0.156013190140102,9,8,0,0.529411764705882,"No",NA,NA
"BAL",0.0375545970617403,777,-0.047686041746893,448,0.00522993771649479,1524,0.0157509164997735,0.175942796997536,-0.123482944434502,8,9,0,0.470588235294118,"No",NA,NA
"CLE",0.0143737023844415,628,0.016970465564377,465,-0.0239510410860245,1371,0.00325954085217807,0.0335463855444957,-0.0197386777453787,8,9,0,0.470588235294118,"No",NA,NA
"MIN",0.0974087377878215,683,-0.114153006521584,444,-0.00510267282121031,1440,-0.0120523152729689,0.00416758693174099,-0.00763815228889134,8,9,0,0.470588235294118,"No",NA,NA
"ATL",-0.0310112564573325,665,-0.158745937554731,373,-0.0788547679095235,1339,0.0463241828088289,0.187378482696988,-0.0627805993544517,7,10,0,0.411764705882353,"No",NA,NA
"DEN",0.0979320463730514,635,-0.0928406807785223,438,0.0105160453086606,1340,0.00114726781760795,0.0442780879748497,-0.0587536932372876,7,10,0,0.411764705882353,"No",NA,NA
"SEA",0.0529184957664139,599,0.0258983173921471,383,0.0165670767854551,1275,-0.00400954786474653,0.111176301234676,-0.107200680579519,7,10,0,0.411764705882353,"No",NA,NA
"WAS",-0.0237170578533587,675,-0.0612195683218658,440,-0.0398192872133004,1399,0.043923731144153,0.175952173206161,-0.0992501384235575,7,10,0,0.411764705882353,"No",NA,NA
"CHI",-0.0731833558415322,695,-0.104607488676372,414,-0.0861492902488987,1389,-0.00462882004368248,0.0739238638165627,-0.0233597967303951,6,11,0,0.352941176470588,"No",NA,NA
"CAR",-0.152807805689762,713,-0.0907339290810426,426,-0.12874690246636,1427,-0.0498601736065932,0.0209207427727482,-0.110420350945371,5,12,0,0.294117647058824,"No",NA,NA
"HOU",-0.0838501316737582,655,-0.209890984614088,405,-0.1137385005915,1365,0.0350714705840558,0.162363467348262,-0.0281836892316611,4,13,0,0.235294117647059,"No",NA,NA
"NYG",-0.145384686286124,705,-0.123245208857884,384,-0.125104430159427,1379,0.00212538472514543,0.0462215871158331,-0.000758603114442428,4,13,0,0.235294117647059,"No",NA,NA
"NYJ",-0.0663760594986477,713,-0.0827096440096017,365,-0.0736445299382756,1363,0.0940213473630698,0.258274008845012,-0.0268935635843295,4,13,0,0.235294117647059,"No",NA,NA
"DET",-0.0154504268857021,675,-0.12337165340101,425,-0.0613233021028543,1397,0.0610331027070137,0.194710160229321,-0.0280918851197439,3,13,1,0.176470588235294,"No",NA,NA
"JAX",-0.0615526562572048,707,-0.115100884756295,367,-0.0925043854777784,1369,0.0863399994677543,0.228388090140813,-0.0498342092835853,3,14,0,0.176470588235294,"No",NA,NA
