"week","gameday","home_team","away_team","home_score","away_score","packers_result"
1,"2021-09-12","NO","GB",38,3,"L"
2,"2021-09-20","GB","DET",35,17,"W"
3,"2021-09-26","SF","GB",28,30,"W"
4,"2021-10-03","GB","PIT",27,17,"W"
5,"2021-10-10","CIN","GB",22,25,"W"
6,"2021-10-17","CHI","GB",14,24,"W"
7,"2021-10-24","GB","WAS",24,10,"W"
8,"2021-10-28","ARI","GB",21,24,"W"
9,"2021-11-07","KC","GB",13,7,"L"
10,"2021-11-14","GB","SEA",17,0,"W"
11,"2021-11-21","MIN","GB",34,31,"L"
12,"2021-11-28","GB","LA",36,28,"W"
14,"2021-12-12","GB","CHI",45,30,"W"
15,"2021-12-19","BAL","GB",30,31,"W"
16,"2021-12-25","GB","CLE",24,22,"W"
17,"2022-01-02","GB","MIN",37,10,"W"
18,"2022-01-09","DET","GB",37,30,"L"
20,"2022-01-22","GB","SF",10,13,"L"
